texts,texts_deepcut,action,object,destination
ระงับสัญญาณ,ระงับ สัญญาณ,cancel,service,other queries
พอดีจะไปเคลม ipone s นะครับ แล้วที่เซ็นทรัลลาดพร้าวไม่ทราบมีเครื่องอยู่หรือเปล่าครับ,พอดี จะ ไป เคลม ipone s นะ ครับ แล้ว ที่ เซ็นทรัลลาดพร้าว ไม่ ทราบ มี เครื่อง อยู่ หรือ เปล่า ครับ,request,information,other queries
ยกเลิกโปรโมชั่นเน็ตค่ะ,ยกเลิก โปรโมชั่นเน็ตค่ะ,cancel,service,other queries
มีแพคเกจโทรเสริมไหม,มี แพคเกจโทรเสริมไหม,enquire,promotion,promotions
ทำไมเบอร์นี้เติมเงิน แล้วหักตังค์ตังบ่อยจัง,ทำไม เบอร์ นี้ เติม เงิน แล้ว หัก ตังค์ ตังบ่อย จัง,enquire,balance,billing and payment
จะเติมเงิน จะเติมเงินเข้ามือถือ,จะ เติม เงิน   จะ เติม เงิน เข้า มือถือ,enquire,payment,billing and payment
เพิ่งซื้อ ซิมมาเมือวานไม่รู้ต้องลงทะเบียนอะไร ยังไงหรือเปล่า,เพิ่ง ซื้อ ซิม มา เมือ วาน ไม่ รู้ ต้อง ลง ทะเบียน อะไร ยัง ไง หรือ เปล่า,request,information,other queries
ผมต้องการเปลี่ยนจากรายเดือนมาเป็นเติมเงินหน่ะ ผมต้องทำอย่างไรบ้าง,ผม ต้องการ เปลี่ยน จาก ราย เดือน มา เป็น เติม เงิน หน่ะ ผม ต้อง ทำ อย่าง ไร บ้าง,change,package,promotions
ได้รับกล่องสัญญาณของทรูมาเปิดแล้วมันดูไม่ได้ครับ,ได้ รับ กล่อง สัญญาณ ของ ทรู มา เปิด แล้ว มัน ดู ไม่ ได้ ครับ,enquire,nontruemove,other queries
ค่ะ เบอร์ที่ใช่งานอยู่เป็นทรูมูฟ ถ้าจะเปลี่ยนทรูมูฟ เอช G ได้มั้ยค่ะ,ค่ะ เบอร์ ที่ ใช่ งาน อยู่ เป็น ทรูมูฟ ถ้า จะ เปลี่ยน ทรูมูฟ เอช G ได้ มั้ย ค่ะ,change,detail,billing and payment
ต้องการเปิดบริการ เปิดสัญญาณชั่วคราว,ต้องการ เปิด บริการ   เปิด สัญญาณ ชั่วคราว,activate,service,billing and payment
คะ พอดีจะสอบถามโปรโมชั่นของบีบีคะ,คะ พอดี จะ สอบถาม โปรโมชั่น ของ บีบีคะ,enquire,promotion,promotions
หนูต้องการสมัคร miss call alert ค่ะ,หนู ต้องการ สมัคร miss call alert ค่ะ,buy,package,promotions
จะปิดอินเตอร์เน็ตอ่ะค่ะ เนื่องจากจะไปต่างประเทศค่ะ,จะ ปิด อินเตอร์เน็ต อ่ะ ค่ะ เนื่อง จาก จะ ไป ต่าง ประเทศ ค่ะ,cancel,service,other queries
เล่น อินเตอร์เน็ตไม่ได้ ได้เปลี่ยนโปรเป็น XL แล้วค่ะ,เล่น อินเตอร์เน็ต ไม่ ได้ ได้ เปลี่ยน โปร เป็น XL แล้ว ค่ะ,enquire,internet,internet
ผมต้องการเปลี่ยนโปรโมชั่นของเบอร์,ผม ต้องการ เปลี่ยน โปรโมชั่นของ เบอร์,change,package,promotions
ผมจะยกเลิกข้อความอ่ะ,ผม จะ ยกเลิก ข้อความ อ่ะ,cancel,service,other queries
จะเปิดบริการสายเรียกซ้อน แล้วก็อยากจะเปิดบริการที่ถ้าโทรมาแล้วไม่รับ แจ้งเป็น SMS อ่ะค่ะ,จะ เปิด บริการ สาย เรียก ซ้อน แล้ว ก็ อยาก จะ เปิด บริการ ที่ ถ้า โทร มา แล้ว ไม่ รับ แจ้ง เป็น SMS อ่ะค่ะ,enquire,service,other queries
พอดีเบอร์โดนระงับอ่ะค่ะถ้าจะใช้เบอร์นี้ต่อต้องทำยังไงค่ะ,พอดี เบอร์โดน ระงับ อ่ะ ค่ะ ถ้า จะ ใช้ เบอร์ นี้ ต่อ ต้อง ทำ ยัง ไง ค่ะ,report,suspend,billing and payment
สวัสดีค่ะ หมายเลขโทรศัพท์ทรูมูฟมันหายไปตัวนึงอ่ะครับ,สวัสดี ค่ะ หมายเลข โทรศัพท์ ทรูมูฟมัน หาย ไป ตัว นึง อ่ะครับ,enquire,service,other queries
ขอทราบเวลาเปิดของช็อป ที่อาคารฟอร์จูน,ขอ ทราบ เวลา เปิด ของ ช็อป   ที่ อาคารฟอร์จูน,request,information,other queries
โทรมายกเลิกแพคเกจอินเตอร์เน็ตที่ใช้คู่กับแอร์การ์ดอ่ะค่ะ,โทร มา ยกเลิก แพคเกจอินเตอร์เน็ต ที่ ใช้ คู่ กับ แอร์การ์ดอ่ะค่ะ,cancel,service,other queries
อันนี้บิลของนายสามารถนั่น มันมาแล้วนั่น,อัน นี้ บิล ของ นายสามารถ นั่น   มัน มา แล้ว นั่น,enquire,bill,billing and payment
ถ้าผมสมัครทรูมูฟอันลิมิเต็ตวันหนึ่งมันเท่าไหร่ครับ,ถ้า ผม สมัคร ทรูมูฟ อันลิมิเต็ต วัน หนึ่ง มัน เท่า ไหร่ ครับ,enquire,promotion,promotions
รบกวนสมัครเน็ตให้หน่อยค่ะ,รบกวนสมัคร เน็ต ให้ หน่อย ค่ะ,buy,package,promotions
เบอร์ผม เงินที่ต้องจ่ายสิ้นเดือนนี้ เท่าไรครับ,เบอร์ผม เงิน ที่ ต้อง จ่าย สิ้น เดือน นี้ เท่า ไร ครับ,enquire,balance,billing and payment
อยากสอบถามค่าบริการของเบอร์xxxxxxx เป็นซิมฟรีที่ไม่ต้องยกเลิกแต่มีบิลมาได้อย่างไร และยังไม่เคยใช้งาน,อยาก สอบถาม ค่า บริการ ของ เบอร์xxxxxxx   เป็น ซิม ฟรี ที่ ไม่ ต้อง ยกเลิก แต่ มี บิล มา ได้ อย่าง ไร   และ ยัง ไม่ เคย ใช้ งาน,enquire,balance,billing and payment
ครับ สวัสดีครับ พอดีผมโทรหาเบอร์ไม่ได้ พอดีจะโทรไปต่างประเทศครับ โทรไปแจ้งว่าหมายเลขนี้ระงับสัญญาณชั่วคราว,ครับ สวัสดี ครับ พอดี ผม โทร หา เบอร์ ไม่ ได้ พอดี จะ โทร ไป ต่าง ประเทศ ครับ โทร ไป แจ้ง ว่า หมายเลข นี้ ระงับ สัญญาณ ชั่วคราว,enquire,idd,international dialing
อยากทราบโปรโมชั่นของเบอร์นี้ครับ,อยาก ทราบ โปรโมชั่น ของ เบอร์นี้ ครับ,enquire,package,promotions
จะติดต่อเรื่องซิมผมอีกซิมผมทำหายไปครับ,จะ ติดต่อ เรื่อง ซิม ผม อีก ซิม ผม ทำ หาย ไป ครับ,report,lost_stolen,lost and stolen
เบอร์ผมถูกยกเลิกหน่ะครับ ผมไม่ได้เติมเงิน,เบอร์ผม ถูก ยกเลิก หน่ะ ครับ ผม ไม่ ได้ เติม เงิน,report,suspend,billing and payment
ค่ะ พอดี format เครื่อง แล้วเน็ตมันใช้ไม่ได้ อยากทราบว่าต้องตั้งค่าใหม่มั๊ยค่ะ,ค่ะ พอดี format เครื่อง แล้ว เน็ต มัน ใช้ ไม่ ได้ อยาก ทราบ ว่า ต้อง ตั้ง ค่า ใหม่ มั๊ย ค่ะ,enquire,internet,internet
จะซื้อเพกเกจเน็ตในบีบีได้ไหมคะ,จะ ซื้อ เพกเกจ เน็ต ใน บีบี ได้ ไหมคะ,buy,package,promotions
อยากสอบถามเกี่ยวกับการเติมเงินผิด คือว่าจะเติมเบอร์โทรปกติ แต่ว่าไปเติมเข้าทรูมันนี่ แล้วมันจะโอนมาได้ไหมคะ,อยาก สอบถาม เกี่ยว กับ การ เติม เงิน ผิด   คือ ว่า จะ เติม เบอร์โทร ปกติ   แต่ว่า ไป เติม เข้า ทรู มัน นี่   แล้ว มัน จะ โอน มา ได้ ไหมคะ,enquire,truemoney,true money
ถามนิดนึงครับ พอดีผมจะชำระค่าบริการผ่าน SCB easy net หนะครับ ต้องใส่ข้อมูลยังไงครับ,ถาม นิด นึง ครับ พอดี ผม จะ ชำระ ค่า บริการ ผ่าน SCB easy net หนะ ครับ ต้อง ใส่ ข้อมูล ยัง ไง ครับ,enquire,payment,billing and payment
พอดีเล่นแบล็กเบอรี่ไม่ได้ ไม่ทราบว่าเป็นที่สัญญาณหรืออว่าอะไรคะ,พอดี เล่น แบล็ก เบอรี่ ไม่ ได้ ไม่ ทราบ ว่า เป็น ที่ สัญญาณ หรือ อว่า อะไร คะ,report,phone_issues,billing and payment
สอบถามโปรโมชั่นไออาร์,สอบถาม โปรโมชั่นไออาร์,enquire,promotion,promotions
ก็คือมีการค้างชำระค่าบริการที่ผ่านมา ที่เค้าเตอรืเซอวิสครับเค้าแจ้งว่าถ้าชำระแล้วให้โทรมาเบอร์นี้อะครับ,ก็ คือ มี การ ค้าง ชำระ ค่า บริการ ที่ ผ่าน มา ที่ เค้า เตอรืเซอวิส ครับ เค้า แจ้ง ว่า ถ้า ชำระ แล้ว ให้ โทร มา เบอร์ นี้ อะครับ,enquire,balance,billing and payment
ค่ะ จะสอบถามว่า เบอร์นี้ เป็นโปรอะไรอยู่ค่ะ,ค่ะ จะ สอบถาม ว่า เบอร์ นี้ เป็น โปร อะไร อยู่ ค่ะ,enquire,package,promotions
อยากสมัครเพคเกจ 399 ต่อเดือน ค่ะ,อยาก สมัคร เพคเกจ   399   ต่อ เดือน   ค่ะ,buy,package,promotions
ใช้งานดาต้า ไม่ได้,ใช้ งาน ดา ต้า ไม่ ได้,enquire,internet,internet
วันนี้พี่โทรมาสอบถามว่าเค้าเลือกโปรผิดให้พี่เป็น iTalk พี่โทรมาเปลี่ยนเป็น iNet เค้าเปลี่ยนโปรให้พี่หรือยัง,วัน นี้ พี่ โทร มา สอบถาม ว่า เค้า เลือก โปร ผิด ให้ พี่ เป็น iTalk พี่ โทร มา เปลี่ยน เป็น iNet เค้า เปลี่ยน โปร ให้ พี่ หรือ ยัง,change,package,promotions
เปิดบริการให้หน่อยค่ะ เพิ่งไปชำระค่าบริการมา,เปิด บริการ ให้ หน่อย ค่ะ เพิ่ง ไป ชำระ ค่า บริการมา,activate,service,billing and payment
ยอดค้างชำระของเดือน 11,ยอดค้าง ชำระ ของ เดือน   11,enquire,balance,billing and payment
ค่ะ อยากจะสอบถามว่า wifi ทรูมูฟ มีปัญหาอะไรหรือเปล่าค่ะ ใช่งานไม่ได้ค่ะ,ค่ะ อยาก จะ สอบถาม ว่า wifi ทรูมูฟ มี ปัญหา อะไร หรือ เปล่า ค่ะ ใช่ งาน ไม่ ได้ ค่ะ,enquire,internet,internet
หมายเลขเบอร์ เป็นเบอร์ที่ถูกตัด แต่ผมไปชำระที่เคาน์เตอร์แล้ว แต่ใช้งานไม่ได้ครับ,หมายเลขเบอร์ เป็น เบอร์ ที่ ถูก ตัด แต่ ผม ไป ชำระ ที่ เคาน์เตอร์ แล้ว แต่ ใช้ งาน ไม่ ได้ ครับ,report,suspend,billing and payment
ฮาโหลครับ อยากเปลี่ยนโปรโมชั่นครับ,ฮาโหล ครับ   อยาก เปลี่ยน โปรโมชั่นครับ,change,package,promotions
จะขอ ไอดี และ พาสเวิด ไวไฟ ของ ทรู ครับ,จะ ขอ ไอดี และ พาส เวิด ไวไฟ ของ ทรู ครับ,enquire,internet,internet
ทำไม่ internet ช้ามากกว่าปกติครับ,ทำ ไม่ internet ช้า มาก กว่า ปกติ ครับ,enquire,internet,internet
คือสมัครเพ็กเก็ตไป แล้วตอนนี้ยังใช้ไม่ได้เลยค่ะ,คือ สมัคร เพ็ก เก็ต ไป แล้ว ตอน นี้ ยัง ใช้ ไม่ ได้ เลย ค่ะ,report,phone_issues,billing and payment
เครื่องหาย ต้องติดต่อที่ไหน,เครื่อง หาย   ต้อง ติดต่อ ที่ไหน,report,lost_stolen,lost and stolen
สวัสดีครับผมจะโทรมาสอบถาม promotion ของTrue move H iplay,สวัสดี ครับ ผม จะ โทร มา สอบถาม promotion ของ True move H iplay,enquire,promotion,promotions
สอบถามข้อมูลนิดนึงค่ะ เรื่องของชำระค่าบริการ,สอบถาม ข้อมูล นิดนึง ค่ะ เรื่อง ของ ชำระ ค่าบริการ,enquire,payment,billing and payment
คือผมโหลด LINE มา แล้วมันส่งได้แต่ สติ๊กเกอร์ แต่ส่งข้อความไม่ได้ พอจะช่วยเหลือผมได้มั๊ยครับ,คือ ผม โหลด LINE มา แล้ว มัน ส่ง ได้ แต่ สติ๊กเกอร์ แต่ ส่ง ข้อความ ไม่ ได้ พอ จะ ช่วยเหลือ ผม ได้ มั๊ยครับ,enquire,internet,internet
หมายเลขที่โทรเข้าไป ถูกระงับการใช้ ตอนนี้มียอดค้างเท่าไหร่ครับ,หมายเลข ที่ โทร เข้า ไป ถูก ระงับ การ ใช้ ตอน นี้ มี ยอดค้าง เท่า ไหร่ ครับ,report,suspend,billing and payment
พี่คะเมื่อกี้ขอเพิ่มใช่มั้ยคะเป็นแพ็คเกต ค่ะ แล้วที่นี้เปลี่ยนไปแล้วมันขึ้นตัว E ไม่ขึ้น สามจี,พี่ คะ เมื่อ กี้ ขอ เพิ่ม ใช่ มั้ย คะ เป็น แพ็คเกต ค่ะ แล้ว ที่ นี้ เปลี่ยน ไป แล้ว มัน ขึ้น ตัว E ไม่ ขึ้น สามจี,enquire,internet,internet
จะชำระค่าบริการผ่านบตรเครติด ช่วยโอนสายให้หน่อยครับ,จะ ชำระ ค่า บริการ ผ่าน บตรเครติด ช่วย โอนสาย ให้ หน่อย ครับ,enquire,payment,billing and payment
อยากสอบถามนิดนึงนะครับ เผอิญผมใช้เครื่องซัมซุงแท็ปเล็ด ผมไม่เข้าใจในแพ็คเกจเน็ต 350 ตรงนี้มันหมายความว่าอย่างไรครับ,อยาก สอบถาม นิด นึง นะ ครับ   เผอิญ ผม ใช้ เครื่อง ซัมซุง แท็ป เล็ด   ผม ไม่ เข้าใจ ใน แพ็คเกจ เน็ต   350   ตรง นี้ มัน หมาย ความ ว่า อย่าง ไร ครับ,enquire,package,promotions
ตอนนี้ ซื้อ ยังแถม อยู่มั้ยครับ ที่ทรูคอฟฟี่ หรือมีโปรโมชั่นอื่น,ตอน นี้ ซื้อ ยัง แถม อยู่ มั้ย ครับ ที่ ทรูคอฟ ฟี่ หรือ มี โปรโมชั่นอื่น,enquire,loyalty_card,other queries
หนูสมัครโปรเสริมไว้ บาทโทรได้ นาที คือเช็คแล้วมันเช็คไม่ได้คือเช็คหมายเลขไรอ่ะพี่,หนู สมัคร โปรเสริม ไว้ บาท โทร ได้ นาที คือ เช็ค แล้ว มัน เช็ค ไม่ ได้ คือ เช็ค หมายเลข ไร อ่ะพี่,enquire,promotion,promotions
สวัสดีค่ะ จะเปลี่ยนลดโปรโมชันค่ะ,สวัสดี ค่ะ จะ เปลี่ยน ลด โปรโมชันค่ะ,change,package,promotions
รบช่วยเช๊คยอดเงินของหมายเลขอีกหมายเลขให้หน่อยค่ะ,รบ ช่วย เช๊ คยอด เงิน ของ หมายเลข อีก หมายเลข ให้ หน่อย ค่ะ,enquire,balance,billing and payment
ช่วยเช็ค มันโดนตัด ผมจะต้องทำยังไงค่ะ ต้องจ่ายชำระเท่าไหร่ครับ,ช่วย เช็ค มัน โดน ตัด ผม จะ ต้อง ทำ ยัง ไง ค่ะ ต้อง จ่าย ชำระ เท่า ไหร่ ครับ,report,suspend,billing and payment
ขอช่วยเปิดบริการให้หน่อยครับ พอดีผมเพิ่งไปจ่ายตังมาเมื่อกี๊,ขอ ช่วย เปิด บริการ ให้ หน่อย ครับ พอดี ผม เพิ่ง ไป จ่าย ตัง มา เมื่อ กี๊,activate,service,billing and payment
พอดีจะสอบถามโปรโมชั่นไอโฟน,พอดี จะ สอบถาม โปรโมชั่นไอโฟน,enquire,promotion,promotions
จะขอสำเนาใบแจ้งค่าใช้บริการค่ะ,จะ ขอ สำเนา ใบ แจ้ง ค่า ใช้ บริการ ค่ะ,enquire,bill,billing and payment
สอบถามค่าบริการ SMS Content Download,สอบถาม ค่า บริการ SMS Content Download,enquire,balance,billing and payment
ผมจะสอบถามว่า โบนัสต้องทำยัไงครับพี่ถึงจะใช้ได้,ผม จะ สอบถาม ว่า โบนัส ต้อง ทำ ยัไง ครับ พี่ ถึง จะ ใช้ ได้,enquire,package,promotions
ครับ เออ... อยากเช็คเงินตอนนี้ครับ ในเบอร์มีเท่าไหร่ครับ,ครับ เออ ... อยาก เช็ค เงิน ตอน นี้ ครับ ใน เบอร์ มี เท่า ไหร่ ครับ,enquire,balance,billing and payment
อยากสอบถามว่าได้รับแมสเซส สามจี จะสิ้นสุดเร็วๆนี้ และถ้าจะใช้ สามจี+ ติดต่อทรูชอปทุกสาขา แล้วตรงนี้ค่าบริการจะต้องเปลี่ยนมั๊ยหรือว่ายังไง,อยาก สอบถาม ว่า ได้ รับ แมสเซส  สามจี   จะ สิ้นสุด เร็ว ๆนี้   และ ถ้า จะ ใช้   สาม จี+   ติดต่อ ทรู ชอป ทุก สาขา   แล้ว ตรง นี้ ค่า บริการ จะ ต้อง เปลี่ยน มั๊ย หรือ ว่า ยัง ไง,enquire,rate,promotions
ตอนนี้ทำไมวันนี้ผมถูกระงับสัญญาณหล่ะ,ตอน นี้ ทำไม วัน นี้ ผม ถูก ระงับ สัญญาณ หล่ะ,report,suspend,billing and payment
ผมจะสอบถามว่า ทำเรื่องไวไฟ ทำได้มั้ยครับ,ผม จะ สอบถาม ว่า ทำ เรื่อง ไวไฟ ทำ ได้ มั้ย ครับ,enquire,internet,internet
ตอนนี้ใช้ตัวไอซิมอยู่ค่ะ แต่ปัญหาคือตอนนี้เราเติมเงินไม่ได้เลย,ตอน นี้ ใช้ ตัว ไอ ซิม อยู่ ค่ะ แต่ ปัญหา คือ ตอน นี้ เรา เติม เงิน ไม่ ได้เลย,enquire,payment,billing and payment
โปร ไอสมาทร์ ระบบเติมไงสมัครได้ไหมค่ะ,โปร ไอสมาทร์ ระบบ เติม ไง สมัคร ได้ ไหม ค่ะ,enquire,promotion,promotions
ตอนนี้ผมใช้โปรโมชั่น บาท แล้วถ้าเปลี่ยนเป็นโปรโมชั่น บาทอินเตอร์เน็ตมันจะเร็วขึ้นมั้ยครับ,ตอน นี้ ผม ใช้ โปรโมชั่น บาท แล้ว ถ้า เปลี่ยน เป็น โปรโมชั่น บาท อินเตอร์เน็ต มัน จะ เร็ว ขึ้น มั้ย ครับ,enquire,promotion,promotions
สอบถามหน่อยครับ มีข้อความอะไรไม่รู้ภาษาอังกฤษเข้ามา แล้วก็หักเงินไปเรื่อยๆเลยครับ,สอบถาม หน่อย ครับ มี ข้อความ อะไร ไม่ รู้ ภาษา อังกฤษ เข้า มา แล้ว ก็ หัก เงิน ไป เรื่อย ๆ เลย ครับ,enquire,service,other queries
ถ้าเราต้องการเติมเงินเข้าทรูมันนี่ ทำผ่านที่ไหนได้บ้างค่ะ,ถ้า เรา ต้องการ เติม เงิน เข้า ทรู มัน นี่ ทำ ผ่าน ที่ ไหน ได้ บ้าง ค่ะ,enquire,truemoney,true money
อยากจะสอบถาม เบอร์ ที่จะ ยกเลิกข้อความที่เสียตังค์,อยาก จะ สอบถาม เบอร์ ที่ จะ ยกเลิก ข้อความ ที่ เสียตังค์,cancel,service,other queries
ไม่ทราบว่าโปรโมชั่นของดิฉันตัดหมดวันที่เท่าไหร่ค่ะ,ไม่ ทราบ ว่า โปรโมชั่น ของ ดิฉัน ตัด หมด วัน ที่ เท่า ไหร่ ค่ะ,enquire,package,promotions
ค่ะสวัสดีค่ะ คือว่าเมื่อเช้าโทรไปเรื่อง sim โทรศัพท์ค่ะ คือว่าโอนย้ายเครือข่ายจาก AIS เป็น TMV แล้วทีนี้พนักงานเค้าให้ SIM มาผิดค่ะ คือตอนนี้สัญญาณมันตัดของเก่าไปแล้วค่ะ ช่วยตรวจสอบให้หน่อยได้มั๊ยครับว่าต้องรออีกนานรึเปล่าค่ะ,ค่ะ สวัสดี ค่ะ คือ ว่า เมื่อ เช้า โทร ไป เรื่อง sim โทรศัพท์ ค่ะ คือ ว่า โอน ย้าย เครือข่าย จาก AIS เป็น TMV แล้ว ที นี้ พนักงาน เค้า ให้ SIM มา ผิด ค่ะ คือ ตอน นี้ สัญญาณ มัน ตัด ของ เก่า ไป แล้ว ค่ะ ช่วย ตรวจสอบ ให้ หน่อย ได้ มั๊ย ครับ ว่า ต้อง รอ อีก นาน รึ เปล่า ค่ะ,report,suspend,billing and payment
จะสอบถามเรื่องสมัครทรูมันนี่,จะ สอบถาม เรื่อง สมัคร ทรูมัน นี่,enquire,truemoney,true money
เราอยากให้ลดวงเงินลง ไม่อยากโทรเยอะ,เรา อยาก ให้ ลด วง เงิน ลง ไม่ อยาก โทรเยอะ,enquire,credit,billing and payment
ติดต่อมาจะขอเปิดสัญญาณ ชำระค่าบริการเรียบร้อยแล้ว,ติดต่อ มา จะ ขอ เปิด สัญญาณ ชำระ ค่า บริการ เรียบร้อย แล้ว,activate,service,billing and payment
สอบถามเกี่ยวกับการชำระเงินครับ,สอบถาม เกี่ยว กับ การ ชำระ เงินครับ,enquire,payment,billing and payment
ค่ะ สวัสดีค่ะ โทรสอบถามว่าเมื่อวานนี้เติมตังไป บาท ทำไมตอนนี้เหลือ กว่าบาทค่ะ ไม่ได้โทรไปไหนเลย,ค่ะ สวัสดี ค่ะ โทร สอบถาม ว่า เมื่อ วาน นี้ เติม ตัง ไป บาท ทำไม ตอน นี้ เหลือ กว่า บาท ค่ะ ไม่ ได้ โทร ไป ไหนเลย,enquire,balance,billing and payment
อ่าพอดีผมต้องการให้เปิดสัญญาณ จี พี อาร์ เอส และ เอ็ม เอ็ม เอส ให้หน่อยครับ,อ่า พอดี ผม ต้องการ ให้ เปิด สัญญาณ   จี   พี อาร์ เอส   และ   เอ็ม เอ็ม เอส   ให้ หน่อย ครับ,activate,service,billing and payment
ตั้งการตั้งโอนสาย,ตั้ง การ ตั้ง โอนสาย,enquire,mobile_setting,internet
จะสอบถามเรื่องต้องจ่ายค่าโทรเท่าไหร่ค่ะ,จะ สอบถาม เรื่อง ต้อง จ่าย ค่า โทร เท่า ไหร่ ค่ะ,enquire,balance,billing and payment
พอดีได้กล่องรับสัญญาณของทรู ดูไม่ได้ครับ,พอดี ได้ กล่อง รับ สัญญาณ ของ ทรู ดู ไม่ ได้ ครับ,enquire,nontruemove,other queries
อยากจะให้ช่วยสมัครอินเตอร์เน็ตให้หน่อยค่ะ,อยาก จะ ให้ ช่วย สมัคร อินเตอร์เน็ต ให้ หน่อย ค่ะ,buy,package,promotions
คือสปีดผมหมดหน่ะครับ ผมอยากจะเติมครับ,คือ สปีด ผม หมด หน่ะ ครับ ผม อยาก จะ เติม ครับ,enquire,internet,internet
พอดีเปิดเน็ตไม่ได้อะครับ เข้าเว็บไม่ได้,พอดี เปิด เน็ต ไม่ ได้ อะครับ   เข้า เว็บ ไม่ ได้,enquire,internet,internet
ต้องการยกเลิกแพ็คแกจ Net แล้วสมัครเป็น Net แทนครับ,ต้องการ ยกเลิก แพ็คแกจ Net แล้ว สมัคร เป็น Net แทนครับ,change,package,promotions
เบอร์มือถือผม เติมเงินทีละ แต่ไม่ได้ใช้เลยพี่ แต่เงินมันหมด เป็นเพราะอะไร,เบอร์มือถือ ผม เติม เงิน ที ละ แต่ ไม่ ได้ ใช้ เลย พี่ แต่ เงิน มัน หมด เป็น เพราะ อะไร,enquire,balance,billing and payment
จะสอบถามเกี่ยวกับโปรโมชั่นทรูมูฟเฮชใช่ไหมครับ,จะ สอบถาม เกี่ยว กับ โปรโมชั่น ทรูมูฟเฮช ใช่ ไหม ครับ,enquire,promotion,promotions
ผมอยากรู้ว่าต้องชำระอะไรยังไงวันไหนครับ,ผม อยาก รู้ ว่า ต้อง ชำระ อะไร ยัง ไง วัน ไหน ครับ,enquire,bill,billing and payment
แจ้งใช้ทรู id login HTV ไม่ได้,แจ้ง ใช้ ทรู id login HTV ไม่ ได้,enquire,internet,internet
เบอร์ผมอยู่ดีๆก็โดนระงับอะพี่ เกิดอะไรขึ้นครับ,เบอร์ ผม อยู่ดี ๆ ก็ โดน ระงับ อะพี่ เกิด อะไร ขึ้น ครับ,report,suspend,billing and payment
โทรมาเปิดบริการเบอร์ค่ะ พอดีเปลี่ยนจากทรูมูฟเป็นทรูมูฟเอชค่ะ,โทร มา เปิด บริการ เบอร์ ค่ะ พอดี เปลี่ยน จาก ทรูมูฟ เป็น ทรูมูฟเอชค่ะ,activate,service,billing and payment
ค่า คืออยากจะขอเปลี่ยนโปรโมชั่นน่ะค่ะ,ค่า คือ อยาก จะ ขอ เปลี่ยน โปรโมชั่นน่ะ ค่ะ,change,package,promotions
เมื่อวานมันเปิดเน็ตแล้วมันใช้งาน G ไม่ได้อ่ะค่ะ,เมื่อ วาน มัน เปิด เน็ต แล้ว มัน ใช้ งาน G ไม่ ได้ อ่ะ ค่ะ,enquire,internet,internet
ถ้าเครื่องหายแล้วสั่งระงับเบอร์ไว้ แล้วเราไม่อยากระงับได้ไหมค่ะ,ถ้า เครื่อง หาย แล้ว สั่ง ระงับ เบอร์ ไว้ แล้ว เรา ไม่ อยาก ระงับ ได้ ไหม ค่ะ,report,lost_stolen,lost and stolen
พอดีผมอยากจะเปลี่ยนโปรโมชั่นหน่อยครับ,พอดี ผม อยาก จะ เปลี่ยน โปรโมชั่นหน่อย ครับ,change,package,promotions
ซิมเก่าทที่ไม่ใช่สามจี แต่จะสมัครโปรสามจี จะสมัครได้ไหมคะ,ซิม เก่าท ที่ ไม่ ใช่ สาม จี แต่ จะ สมัคร โปรสามจี จะ สมัคร ได้ ไหมคะ,enquire,promotion,promotions
สวัสดีครับ พอดีจะเช็คโปรโมชั่นครับ,สวัสดี ครับ พอดี จะ เช็ค โปรโมชั่นครับ,enquire,promotion,promotions
แพคเกจของผม ลดครึ่งมันจะหมดพรุ่งนี้อะครับ,แพคเกจ ของ ผม ลด ครึ่ง มัน จะ หมด พรุ่ง นี้ อะครับ,enquire,package,promotions
จะโทรมาแจ้งว่าจะใช้โปรที่ใช้อยู่ปัจจุบันเนี่ยค่ะ อีกแค่รอบบิลเดียวอ่ะค่ะ,จะ โทร มา แจ้ง ว่า จะ ใช้ โปร ที่ ใช้ อยู่ ปัจจุบัน เนี่ย ค่ะ อีก แค่ รอบ บิลเดียว อ่ะ ค่ะ,enquire,package,promotions
ผมอยากให้เปลี่ยนที่อยู่ได้ไหมครับ,ผม อยาก ให้ เปลี่ยน ที่ อยู่ ได้ ไหม ครับ,change,detail,billing and payment
ต้องการสอบถามค่ะ เบอร์ถูกระงับโทรออกไม่ได้ค่ะ,ต้องการ สอบถาม ค่ะ เบอร์ ถูก ระงับ โทร ออก ไม่ ได้ ค่ะ,report,suspend,billing and payment
อยากสอบถามเกี่ยวกับ อินเตอร์เน็ตของเบอร์นี้อ่ะครับ มันช้ามากเลย เป็นเพราะอะไรครับ,อยาก สอบถาม เกี่ยว กับ   อินเตอร์เน็ต ของ เบอร์ นี้ อ่ะ ครับ   มัน ช้า มาก เลย   เป็น เพราะ อะไร ครับ,enquire,internet,internet
ซื้อบัตรเติมจากออนไลน์ แต่มาเติมแล้วเติมไม่เข้าอ่ะคะ,ซื้อ บัตร เติม จาก ออนไลน์ แต่ มา เติม แล้ว เติม ไม่ เข้า อ่ะคะ,enquire,payment,billing and payment
พี่เพิ่งเปิดเบอร์เมื่อสักครู่นี้เอง internet พี่จะใช้งานได้เลยหรือไม่ค่ะ,พี่ เพิ่ง เปิด เบอร์ เมื่อ สัก ครู่ นี้ เอง internet พี่ จะ ใช้ งาน ได้ เลย หรือ ไม่ ค่ะ,enquire,internet,internet
