texts,labels
รู้สึกแย่มาก,negative
งั้นต้องเข้าใจตัวเองด้วย,neutral
แต่ห่วยสุดคือระบบการชำระเงินนี่แหละ,negative
nan,neutral
ต้องใช้ 75 x 60 x 25 บาท = 112 500  บาท ถ้าตีใช้เดือนละ 4-5 พัน,neutral
มาหากินบนความไม่รู้ของคนอื่น คุณไม่รู้สึกอะไรบ้างหรอคะ,negative
ฉันกับแฟนของฉัน เราคบกันมา 10 ปีแล้วค่ะ,neutral
จะรีบมีบัตรทำไมอะครับ ใช้เยอะก็หนี้เยอะ ค่อยฝึกจัดสรรเงินดีกว่า ถ้าอยากไม่ใช้เงินสดเอาเป็นบัตรเดบิตก่อนดีมั้ย,neutral
นะครับเราก็อายไม่มีเวลาศึกษากันดีๆแล้วก็ลงทุนกันดีๆนะครับ,neutral
มันเหลื่อมล้ำครับ ช่องว่างระหว่างคนจนคนรวยมันมากเกินไป,negative
คำถามคือเด็กจบใหม่ หลายคนต้องรับภาระขนาดนี้,neutral
คือแย่จริงนะ,negative
ให้คำแนะนำดีมาก,positive
ทางแก้ คือ ขอพิจารณาคดีไหมสิ ถ้าคิดว่าจะชนะได้,negative
แค่นี้ก็ปลื้มแล้วดูแลดีจังเลย เดี๋ยวให้ 10 คะแนน,positive
ไงก็ลองดูนะคะ ขอให้สมหวังคะ,neutral
ก็มาเติมกันได้ย้อนหลัง 3 เดือนย้อนหลังระยะเวลาประมาณ,neutral
เก็บเงินสดไว้ดีกว่าก็เลยมีคำว่า Cash is King,neutral
มันขึ้นว่าอยู่ในระหว่างจัดส่ง แล้วยกเลิกออร์เดอร์ไป,neutral
เพียงแต่ว่าเขานิดนึงครับตรงนี้นะห้ามเกิน 2 แสนบาท,neutral
หรือผมต้องเสียเงินก้อนนั้นไปฟรีๆ,negative
nan,neutral
3-4เดือนครับ,neutral
นับนับเวลาเดียวกันไม่ใช่เหรอ,neutral
ไม่มีรายรับ,neutral
ถ้าต้องลำบากขนาดนี้,negative
ห่วยแตกจริงคะ,negative
3 ขอเบอร์บริษัทประกัน หรือ ให้เจ้าหน้าที๋โอนสาย ไป,neutral
ตามข้อกำหนดของธนาคารแห่งประเทศไทย,neutral
วันนี้พออยู่ก็จะขอเสียงหน่อยเวลาแบบนี้,neutral
Facebook,neutral
ที่ดีกว่าสินทรัพย์หลายๆอย่างมาก,neutral
อยากรู้อะไรบ้าง,neutral
บิลมั่ว,negative
เห็นและมีข้อมูลอะไรมาบอกเราสำหรับใครอยากจะเริ่มต้นลงทุนนะครับอยากให้ศึกษาธุรกิจเป็นวันนี้ได้ไอเดียเยอะๆแน่นนอนครับ,neutral
บริการดี,positive
ทำอะไรครับตอนนี้ต้องใช้เงินประหยัดมากเลยนะคะ,neutral
บัตรคนจน เดือนละ 200,neutral
ไม่เข้าใจถึงการทำงานของคุณเลยจริงๆ,negative
พอวันที่ 20 มกราคม 2561 เราไปที่ร้าน,neutral
มีความสุขนะเวลาเราจัดรายการทางด้านการเงินแล้วเราได้ยินเรื่องของคนอื่น,neutral
ยิ่งได้รวดเร็วกว่าก็มีโอกาสที่เศรษฐกิจจะกลับฟื้นคืนกลับมา,neutral
บัตรเครดิตเฟินช้อย scbeasy จ่ายบิล,neutral
ดูแลได้ดีแค่ไหนวันที่ 1,neutral
พยายามอธิบาย สายหลุดแล้วโทรกลับมาด้วย ชื่นชมนะคะที่คุณพยายามอธิบายดิฉัน,positive
กลับตอนไหนเนี่ยเขาจะเอากล่องที่อื่นมาทำต่อท้าย,neutral
เป็นความห่วยของ,negative
โทรไปยี่สิบกว่าสายโมโหมาก,negative
สำคัญมากกว่า,neutral
บริหารสำนักข่าว The Standard มากครับที่มาให้,neutral
บริการดี ให้คะแนนเต็มเลย,positive
บัตรเครดิตนี่บริการดีจริงๆ,positive
บอกไม่สนใจยังโทรมาปลุกผมตอนเช้าๆวันละ2รอบ,negative
จะไปเหลือ 65,neutral
ใจเย็นๆใช่,neutral
พอโทรติด ก็รอสาย 30 นาทีกว่าๆ (เปลืองค่าโทรศัพท์มาก),negative
ของดีจริงเดี๋ยวก็มีลูกค้าเขาซื้อเองไม่ต้องมาหลอกขาย,negative
สรุปเร็ว,positive
ไม่งั้นเขาจะมั่วบอกไม่ได้รับ,neutral
ผมก็ไม่เข้าใจว่าทำไมคนที่เขาอยากได้ก็ไม่อนุมัติ,negative
น้ำเสียงแข็ง ใช่ค่า แทรก จัดส่งแบบฟอร์มทาง email แต่ไม่ได้แจ้งลูกค้าก่อน ข้าม step ทำให้ลูกค้าสงสัยและถาม,negative
ลาขาด ลบแอปทิ้ง ไม่ชายตาแลมันอีกต่อไป,negative
อยากยกเลิกเหมือนกันค่ะ ทำไงคะ,negative
คือถ้ามันเป็นลดต้นลดดอกเอามันพอไหวแต่มันคือมันคิดดอก,neutral
บริการขึ้นอยู่กับผู้ให้บริการ,neutral
เป็นกลุ่มแท็กซี่กลุ่ม set50 set100 เนี่ยแทบจะดูจากค่าธรรมเนียมพอจะได้เลยนะพ่ออย่าให้แพงมากเลยนะขอบคุณไม่ได้,neutral
ผู้สมัครต้องมีรายได้รวมขั้นต่ำ 12 000 บาท,neutral
ไม่เอาอีกละกับแบงค์นี้,negative
ด้วยตัวเอง จะได้ไม่เสียใจเสียเวลาเสียสุขภาพจิต เพราะพลาดคนอื่น,neutral
นี่มันเหมือนโดนหลอกเลย,negative
SF ธรรมดา,neutral
ยอดขายหน้าร้านตกฮวบๆ,neutral
เต้นรถดอกเบี้ย,neutral
มาทยอยเหมือนกับยาย,neutral
อะไรของคาดว่าจะโตวัน,neutral
ใช้ความรู้,neutral
tesla ตลาดหุ้นแสดงว่าเอาเข้ามาในของเกษียณเกษียณขึ้นนะต้องต้องต้องดูก่อนว่าเรามีอะไรอยู่นะเอาเข้ามาบางคนอย่างนี้,neutral
พอจะมาใช้โปรบัตรมาสเตอร์การ์ด ก็ไม่มีแล้ว,negative
คุณพ่อบอกว่า,neutral
เช่นกันครับผม,neutral
คนไทยส่วนหนึ่งไม่ยอมรับความจริงว่า ประเทศไทยยังมีคนจนจำนวนมาก,neutral
ผมก็พึ่งถอยไอแพด 105 ผ่อน 0% 10 เดือนมา com7 เลยครับ,neutral
ถูกหรือไม่คะ,neutral
ก็ยืนยันว่าจะได้รับตามกำหนด พอถึงวันจริงไม่มีสินค้ามาส่ง,negative
หรือว่า,neutral
แต่ละประเทศก็จะทำไม่เท่ากัน,neutral
ผมสั่งshopee ได้ของตลอดไม่เคยโดนยกเลิก แต่ไม่เคยผ่อนงะ,neutral
เงื่อนไขนี้เลิกซะเหอะ ทุเรศอ่ะ,negative
คุ้มค่าความรู้สึกคุ้มค่ามากครับพี่ได้คุยกับทางเป็นวันนี้,neutral
บริษัทฯ ขอเป็นกำลังใจให้ลูกค้าทุกท่าน และขอขอบคุณที่ให้ความไว้วางใจผลิตภัณฑ์บริการด้วยดีเสมอมา,neutral
เวลาได้ยินสินเชื่ออะไรถึงจะเข้ามาแบบเทเลเซลล์แบบนี้,neutral
แต่ให้เราติดต่อขอยกเลิกด้วยตัวเองแบบนี้หรอ,negative
การออมเงินนั้นเราควรแลกสกุลเงินต่างประเทศแล้วเก็บ,neutral
ข่วยกันร้องเรียนเยอะๆ,neutral
สวัสดีครับผมใช่ครับก็ต้องอาศัยเขาเรียกว่าความรอบคอบระมัดระวังอยู่พอสมควรครับเพราะว่าจริงๆแล้ว,neutral
แย่ลงเรื่อยๆ,negative
อย่างเช่นเงินเดือน 2 หมื่น ถ้าจะซื้อบ้าน ราคา 1 ล้าน,neutral
บทเรียนราคาแพงเลยจขกท,neutral
SF กับ sfx เนี่ยเราจำเป็นต้องซื้อต่อเนื่องทุกเดือนไหมหรือว่าปีนึงควรซื้อขั้นต่ำ,neutral
ทุกวันนี้ประกันหาซื้อง่ายมากๆ นอนอยู่บ้านก็มีคนโทรมาเสนอ,neutral
ไม่โดนใจเหมือนเดิมแล้ว แคชแบคได้น้อยกว่าเดิม,negative
บริการดีมากๆ,positive
แล้วก็อาจจะไม่ได้เหมือนกับสวิงสวายเหมือนกับ 2-3 ปีก่อนได้ไหมที่จะ,neutral
ให้เป็นผู้ชนะเลย โปรเยอะมาก ๆ,positive
บอกว่าดีอย่างนั้นอย่างนี้,negative
เมนูมาแต่ตอนนี้มันมีอีกอันใหม่ละจิงโจ้,neutral
อาหารไม่เน้นมาก บินไฟลท์ เที่ยงคืนครับ,neutral
ดีมาก เคลียหมดเลย,positive
ไม่ต้องติดเรื่องวงเงินนู่นนี่นั่น บ้าบอมากบริษัทนี้,negative
เจ้าหน้าที่ก็คงจะไม่รู้เรื่อง ว่าจริงๆแล้วความผิดพลาดมันเกิดจากอะไร,negative
ทางฝั่งยุโรปอเมริกาจะดู,neutral
ผลกำไรผลประกอบการเขาก็ไม่ได้สวยหรูอะไรมากก็ยังปกติแต่,neutral
น้าอ้อเรากำลังจะเป็นนักลงทุนเป็นเจ้าของกิจการโดยอ้อม,neutral
ปล่อยให้มาถึงขนาดนี้,negative
ก็เหลือเกินจริงๆ,negative
เยี่ยมมากเลย,positive
fail ตามที่บอกข้างต้น,negative
ยกเลิกสิทธิประโยชน์แทบไม่เหลืออะไรเลย,negative
คนฟังอาจจะเพิ่งกลับ,neutral
ดิฉันขออนุญาตอธิบายได้มั้ยค่ะ,negative
ขึ้นลงขึ้นลงเร็วลงเร็วมากแล้วก็,neutral
วันที่15 6 62,neutral
น่ารักมาก,positive
แนะนำดีมาก ขอบคุณมากที่อุตส่าห์แนะนำ เข้าใจอะไรขึ้นเลย,positive
ทำอะไรไม่ได้เลยหรอคะ,negative
บาทขึ้นไป,negative
ประหยัดดอกเบี้ยไหมครับผมคิดถูกหรือเปล่า,neutral
ดูให้ดีนะครับ,neutral
ปัญหานี้ดูเหมือนมันไม่หนักแต่บอกได้เลยว่า ไม่ใช่เรื่องล้อเล่น,negative
เป็นวันพุธครับในช่วงนะช่วงนี้ซีซั่นที่ 4,neutral
4%,neutral
ดีมาก ดีมาก,positive
แต่ในขณะเดียวกันไปดู,neutral
อายุงาน 3 เดือน สามารถทำบัตรเครดิตของอะไรได้บ้างคะ,neutral
เข้าสู่โหมดดีเฟนซ์,neutral
first choice ได้ไม่ยาก,positive
ซัก 3 กลุ่มว่าเอานะเริ่มศึกษาจากกลุ่มนี้แล้วกัน,neutral
มันเป็นแบบนี้ตั้งนานแล้ว,negative
โทรมาหลอกเสนอโครงการ เงินฝากประจำดอกเบี้ย 9 เปอร์เซ็นต์ต่อปี,negative
ใครจะว่าอะไรช่างหัวมัน,negative
ดูภาวะตลาดร่วมด้วยอย่างนู้นอย่างนี้อะไรอย่างนี้บ้างลงทุนเป็นแบบแพ็ค,neutral
ยกเลิกการคุ้มครองไม่เอาประกันไรสักอย่าง,negative
มีตัวนี้รอดูอยู่นะอะไรเงี้ยก็จะมีอยู่บ้าง,neutral
อันที่สองก็คือถ้ามองเชิงเศรษฐกิจไทยกับต่างประเทศ,neutral
ตอนนี้อายุ 28 ปีครับรายได้ประมาณเดือนละ,neutral
ปากนะครับถ้าอยากจะลงทุนก็ค่า SMS ก็พิจารณากันเยอะๆเพราะว่ามีเวลาสนใจไม่มาก,neutral
มีปัญหาก็แก้ไขให้ไม่ได้,negative
แล้วพบกันใหม่ตอนหน้าครับวันนี้ลาไปก่อนนะครับสวัสดีครับสวัสดีครับติดตามทุกรายการของ The Standard,neutral
ผมนึกว่าไม่ได้ยิน ไม่มีการตอบสนอง,negative
งงกับการจ่ายของบัตรเฟิร์สช้อยวีซ่า,negative
แอบเก็บเงินอีกส่วนนึงไม่ให้พ่อรู้,neutral
ปัดโถ่ ผ่านไปอีก 2 สัปดาห์โทรมาอีกแต่เปลี่ยนคน ทีนี้ผมด่าจริงจัง,negative
เราอาจจะเหมาะ,neutral
มันไม่ไปถึง,neutral
สัมภาษณ์เรื่องอะไรบ้างครับผมว่าจุดร่วมสำคัญที่สุดก็คือคำว่า The Great lock Down,neutral
โลกเราแม้ว่า,neutral
อะไรก็ไม่รู้,negative
เป็นคำแนะนำที่ดี ดีมากด้วย,positive
ข้อเท็จจริงนั่นแหละแต่ว่าค่อยๆคุยค่อยๆไป,neutral
ใช้สัญดารการตลาดเลวๆมานานแล้ว,negative
หนี้ non bank ยังพอบริหารจัดการได้,neutral
หุ้นมะหรือเปล่าอะไรอย่างนี้มีผสมเงินหน้าตาแบบไหน,neutral
รถไฟเหาะอยู่แล้ว,neutral
บริการพัสดุไปรษณีย์,neutral
ติดต่อ seller ก็ไม่มีคนตอบกลับ,negative
เช็ควงเงินผ่อนของทางคอลเซ็นเตอร์ไม่ได้,negative
โทรไปยกเลิกแล้วเขาก็บอกว่าต้องแล้วก็เดือนถัดไป ไม่รู้เพราะอะรัย,negative
แสงเดือนคอร์ด,neutral
สั่งซื้อเสร็จ ก็โทรถาม cc ว่าจะได้สินค้าระหว่างวันนี้ถึงวันนี้ใช่ไหม cc ตอบ ใช่ ก่อนเดดไลน์ก็มีการโทรสอบถามเรื่อยๆ,neutral
น้องเนี่ยมีทรัพย์สินอะไรบ้างนะครับเพราะว่าเรา,neutral
แต่ว่าไม่ได้กดลิงค์เลยค่ะนักลงทุนจะดูเป็นภาพใหญ่,neutral
ใช่ครับถ้าพูดถึง keyword คำว่าธุรกิจเนี่ย,neutral
ถึงแม้จะผ่านมานาน2ปีแล้ว  แต่ถ้าถูกหลอกให้ทำ,negative
nan,neutral
คุณไม่เข้าใจคำถามที่ดิฉันพูดเหรอ,negative
ขอบคุณมากนะคะที่ให้บริการเป็นอย่างดี,positive
ลูกค้าขาเมื่อลูกค้าจะแจ้งให้ตรวจสอบรายการลูกค้าต้องมีข้อมูลให้เจ้าหน้าที่ค้นหาด้วย,negative
ว่าเราไม่ได้พูด,neutral
บริการดีมาก บริการดีมากๆ ขอบคุณมากค่ะ,positive
แต่มันไม่น่าจะมีปัญหาขนาดนี้,negative
ตรวจต้นทุนถ้าต้นทุน,neutral
ถ้าเน้น cashback&benefit และผ่อน ต่องเฟิร์สช้อยเป็นหลักเลยครับ เพราะโปรฯ เค้าเยอะด้วย,neutral
พอเจอวิกฤต,neutral
nan,neutral
ไม่เกิดการใช้เงินเกิดขึ้น,neutral
เอกสารไม่ชัด อะไรคือไม่ชัด ไม่เข้าใจ,negative
คือแต่ก็ยังมีข้อจำกัด,neutral
สั่งอย่างได้อย่าง,negative
บริหารทีมดับที่มันเป็นยังไงไปไหนยาวหรือว่าเราคิดไม่เหมือนกัน,neutral
call out : น้องนี่ดีมาก พี่ขอชมเชย,positive
ขอบคุณที่ให้บริการ และให้ข้อมูลที่ดี ได้รับข้อมูลที่ดีมากเลย,positive
ใช่ครับก็อย่างที่พี่หนุ่มพูดไปนะครับคือถ้าย้อนกลับไปเมื่อ 2-3 เดือนที่ผ่านมาในช่วงที่ 6,neutral
อธิบายเข้าใจมากเลยค่ะ ขอบคุณนะคะ,positive
ถ้าจะแก้ปัญหาไม่ได้ก็ไม่เป็นไร,negative
ตัวนี้มีอะไรใหม่ๆเยอะ,neutral
เลือกใช้ reward เฉพาะหมวดที่ได้คะแนน x5,neutral
ลุยกันเยอะๆ,neutral
ครับพี่พี่ก็บอกแล้วว่ามันนิโกรสนะครับนอกจากข้างนอกเลยแล้วยังงอกงามด้วย,neutral
วัดบางพลี,neutral
เริ่มเข้าใจ,neutral
"ตอนนี้ก็สะท้อนขึ้นมาบอกว่า 1,000 บาทมันจะเป็นตัววีนะบางทีมันก็ทำให้คน",neutral
เรามีกำลังของเราประมาณไหนที่จะซิ่งได้จะเล่นได้,neutral
แย่ไปกว่านั้นที่พี่โคตรกลัวเลยครับพี่เพราะว่าฟังแล้วแผนของไอ้รูปหล่อเลยนะมันน่าจะเป็นแบบนี้,neutral
พื้นฐานดีสังเกตทุกอย่างไม่ดี,neutral
50 เรื่อยๆ,neutral
แย่ครับ,negative
และยอมรับผิดที่ตัวเองให้ข้อมูลแบบนั้น (แย่มากๆ),negative
มีโอกาสที่มันจะเกิดขึ้นสูงพอจะมีโอกาสได้ไปใช้ชีวิตที่นู่นได้ไปงานตั้งรกรากกันที่นู่นใช่ครับพี่ทั้งนั้นเนี่ยเรื่องของ,neutral
พรุ่งนี้ผมไม่มีปัญหานี้เด้อ,neutral
ดูอะไรบ้างครับหมอมันจะต้องหาข้อมูลอะไรที่ผมพอจะหาไปเบื้องต้นก่อนได้ที่ไหนยังไง,neutral
ไม่มีจรรยาบรรณ น่าขยักแขยง,negative
รายวันขนาดนั้นคือเกาะติดในฐานะสื่อมวลชนมากกว่าว่าเกิดความเคลื่อนไหวอะไร,neutral
ถ้าต้องการปรับปรุงรายปีต้องเปลี่ยนช่องทางการรับเอกสารจากไปรษณีย์มารับทาง email,negative
พอใช้ไปได้ 6 เดือน ปรับเพิ่มเป็น 375 เท่า,neutral
ขอบคุณมากๆเลย บริการดีค่ะ,positive
เข็ดจริงๆไอ้พวกหลอกขายประกันเนี่ย,negative
เช่นฟันธง,neutral
มองเป็นรายบุคคล ก็คงไม่พ้นเรื่องพัฒนาตัวเอง,neutral
คนแอฟเค้าไม่ได้แย่หรอก (ประชด),negative
เมื่อกี้มีคำถามจากคนฟัง,neutral
การขายประกันทางโทรศัพท์ ลูกค้าสามารถยกเลิกสัญญาได้,neutral
ขอบคุณที่ไม่รำคาญนะคะ,positive
เยี่ยมเลยครับ ขอบคุณมากๆนะครับ เพิ่งรู้นะเนี่ย,positive
สมัยก่อนจะมีหุ้นเฉพาะตัว G อย่างเดียวกับคะแนนดีมีธรรมาภิบาลในการบริหารจัดการเรื่องของ Social,neutral
เพราะคนที่อนุมัติ คือ ฝ่ายบัตรเครดิต ที่เขาจะไม่บอกเหตุผลมาที่ cc,neutral
ปรึกษาผู้จัดการสาขาค่ะ ขอบคุณผู้จัดการเมเจอร์ สาขาสำโรง,neutral
มาเลยมาเลยครับพี่,neutral
ขอบคุณมากที่ทำให้เข้าใจมากขึ้น,positive
มองแล้วก็ค่อนข้างที่จะยังไปต่อได้,neutral
และรอนานมาก 10 วัน,neutral
ขอบคุณมากค่ะ แจ้งละเอียดมาก,positive
คิดนี้มาตลอดแล้วก็มันก็ไม่เคยทำร้ายผม,neutral
บอกว่าเคสแบบนี้จะเจอเยอะกับคนแบบอยากรีไฟแนนซ์,neutral
เวรกรรม,negative
ถ้าเอกสารไม่ถึงบริษัทคงไม่ได้รับข้อความมาแบบนี้นะครับ,neutral
เยี่ยมเยี่ยม,neutral
ลูกสาวน่ารักอยู่แล้วก็นะมีฐานะปานกลางค่ะ,neutral
แล้วนะ,neutral
เยี่ยมไปเลย,positive
คนข้างที่จะได้ไม่ใช่ครับใช่ครับเรียกได้เลยได้เลยกลุ่มเกี่ยวกับสุขภาพสุขอนามัยนะๆๆๆไม่ต้องใครเลยพี่เองจะเป็นคนที่มันๆ,neutral
มีปัญหาอะไรไหม,negative
บริการดีมากเลยค่ะ,positive
ดีมั๊ย,neutral
กลับแล้วจะเห็นเลยว่า,neutral
โดนเหมือนกัน บัตร amex,neutral
บล้อกเลย,negative
วันนี้ไปไม่ได้เลยครับครับผม,neutral
ซื้อคนละวันก็นับเป็นวันเลยนะถ้าพนักงานออกคนละวันด้วยถ้าไม่ไปก็จะประมาณนี้,neutral
ไอ้ตัวไอ้ตัวเล็กเรียนภาษาที่เราใช้อยู่แล้วใช่ครับ,neutral
ไม่ต่างกันนะ,neutral
nan,neutral
ตั้งนาฬิกาปลุกตี 5:00 น,neutral
เอาหนี้มาจ่ายหนี้  ภาระเท่าเดิมครับ,neutral
ขอบคุณมากๆ เป็นครั้งแรกที่มีการแนะนำแบบนี้ด้วย รู้สึกว่ามีความประทับใจ call center ที่ดีควรเป็นแบบนี้,positive
ธค นี้,neutral
ไม่ได้เป็นสิ่งที่ยอมรับทำเหมือนๆกันไป,neutral
แห่งยุคครับในรอบ 100 ปี,neutral
japanporn,neutral
ถ้าพี่ไม่อยากเคลียร์พี่ไม่โทรมาหรอก ก็ให้ไปเสนอมา,negative
ที่ที่มีสิทธิ,neutral
ก็เป็นโจทย์หน่อยละกันมึงใช้คำนี้ก็ลองไปคิดเอาเองว่าแต่ละสาขามันจะเป็นอย่างไร,neutral
ลดเหลือ 3 แต่เขาจะดันให้เป็นให้ได้,neutral
"กลัวเหลือเกินไอ้น้องมันจะไปสิ้นเดือนแรก 50,000 บาท",neutral
มีคนอยากจะรู้ว่ามันกำลังจะเกิดอะไรนะมันหลายคนเริ่มตั้งตัวเป็นนักพยากรณ์,neutral
รูปแบบการเก็บเงินเนี่ยไม่ว่าจะเก็บไว้ในเงินฝากเก็บไว้ในหุ้นสหกรณ์เก็บไว้ในกองทุนรวม,neutral
กลับได้แล้วเราหลายครั้งแล้วเรา,neutral
คิดนโยบายได้วรนุชมาก,negative
น้องพูดจาเพราะมาก ใช้ได้,positive
ถ้าลุงยังอยู่ยาวเขาพิมพ์มา,neutral
กดลงไปให้มากที่สุดได้,neutral
มันใช่มั้ย,negative
ขอบคุณมากนะคะ ที่ให้คำแนะนำค่ะ,positive
ทำงานระยำกันทั้งทีม ควาย,negative
ถ้าเรามีหนี้แล้วพ่อตรงไหนก็จะเริ่มตัดเริ่มลด,neutral
ผมไม่โอเคที่เสียสิทธิ์รับเงิน 100 บาท ทางศูนย์บัตรต้องรับผิดชอบ เพราะรายละเอียดที่แจ้งไว้ไม่เคลียร์ เพราะรายละเอียดครบทุก500,negative
ดีหมดเลยดีหมดคำถามที่น่าจะเป็นความหนักอกหนักใจในอนาคตที่มีโอกาสจะต้องย้ายไปอยู่ต่างประเทศ,neutral
เยี่ยมมากเลยครับ ขอบพระคุณมากครับ,positive
เศรษฐกิจโลกแย่จากราคาน้ำมันที่ลดลง,neutral
ตรรกะ มีปัญหา,negative
ด่าเสร็จวางสาย สุดท้ายโทรมาตื๊อเหมือนเดิม บ้าไปแล้ว,negative
ขอบคุณมาก ให้คำแนะนำดีมากเลยหนู,positive
รายได้เท่านี้มีการแบ่งไปออม,neutral
เพราะวงเงินน้อยเลยผ่อนอะไรไม่ได้,negative
แบงก์แย้มเกณฑ์คุมสินเชื่อ บุคคลของ ธปท เงินเดือน 3 หมื่น มีบัตรเครดิตได้ไม่เกิน 3 ใบ วงเงินรวม ไม่ให้เกิน 3 เท่า,neutral
เเล้วพึ่งเริ่มงานที่ใหม่ อายุงานประมาณ 2 เดือน,neutral
ไปทำบัตรที่ธกรุงศรี จะเอาเอกสาร,neutral
จริงๆฟังข้อมูลเนี่ยเป็นน้องอีกคนนึงนะที่จับเงินดีนะครับ,neutral
เป็นบวกรากสามสิบ,neutral
น่าโมโห,negative
เหล้าไม่กิน,neutral
uob,neutral
Ok จะเริ่มให้ทุกคนได้,neutral
ช้าๆ ได้พร้าเล่มงาม,neutral
บริการยอดเยี่ยมมากเลย น่ารักค่ะ,positive
ติดต่อเจ้าหน้าที่ยากมาก รอสายนาน หรือไม่มีคนรับสาย,negative
มันเหมือนมัดมือชกมากกว่า,negative
แค่นี้ก็ไม่ปกติแล้วครับ,negative
เนื้อหา,neutral
ที่แย่ที่สุดที่เลยคะ,negative
หรือไม่ให้เลย,neutral
เต็มใจให้บริการดีมาก,positive
อยากรู้ว่าตัวเขานักศึกษาเข้าศึกษาปุ๊บเขาก็มั่นใจในที่สุดก็พอสมควรครับแต่คุณพ่อเนี่ยคุณพ่อเนี่ยไม่ใช่มีปัญหาเรื่องความรู้หรือความรู้เรื่องเงินแหละแต่เป็นทัศนคติ,neutral
พี่ก็เลยทำสัญญาล่วงหน้ากันไว้นะ,neutral
เชิญมองว่า,neutral
หนูไม่ลองบริหารเงินเดือนที่ได้รับมาให้เพียงพอกับการใช้จ่ายและออม,neutral
บริการดีมากเลยค่ะ,positive
คนรูดบัตรเครดิต ก็คือคนที่เอาของเขามาใช้ก่อน แล้วจายตังค์เขาที่หลัง มันก็ลูกหนี้เขาดีๆนั่นเอง,neutral
บัตรนี้เห็นบางท่านที่รายได้สูงๆ บอกว่าสมัครยาก ไม่รู้ทำไมเหมือนกันครับ,neutral
สำหรับเราไม่ได้มีสมบัติพ่อแม่ก็ต้องหาเอง ยอมกู้ซื้อรถเพื่อเอามาต่อยอดขับไปทำงาน,neutral
ก็แล้วแต่ตัวละกันแล้วก็ขึ้นตัวอักษรเตือนด้วยนะฮ่าๆๆๆๆผมว่าอย่างนั้นมากกว่า,neutral
เดี๋ยวนี้เลิกรับแล้วค่ะ ถ้าโทรมาแล้วพูดว่า แจ้งสิทธิพิเศษเพิ่มเติม,negative
แถมคืนเงินช้าอีก,negative
อย่างนี้ก็ใช้สิทธิไม่ได้ต้องจ่ายเอง,negative
ขอบคุณมากน้องบริการเยี่ยมเลยครับผม,positive
อาจจะแก้ยากกว่าความรู้นะไม่รู้นี่เรายังอ่านยังดูยูทูปยังไปเรียนคอร์สอะไรเพื่อรู้ได้นะ,neutral
ใครที่โอเคปรับพรพรรณว่องไวพอสมควร,neutral
พอส่งเรื่องร้องเรียนไป สคบ ว่าชำระเงินแล้ว,neutral
ต่างเต็มที่และตั้งใจที่จะมอบบริการทีดี,positive
แล้วเราจะไม่ต้องจ่ายดอกเบี้ยทั้ง 1.1 9 1/9 คิดไปแล้วในงวดตรงนั้น,neutral
ktc ไม่มีค่าธรรมเนียมรายปี,neutral
สัญญาณขาดๆหายๆ พูดไม่รู้เรื่อง พูดเร็วและรัวมาก,negative
อันนั้นพี่เข้าใจ พี่ถึงได้โทรไปหาเราไง พี่ได้ข้อมูลมาแบบนี้ พี่ถึงได้วางใจ น้องไปลองฟังสายดูนะ,negative
ก่อนจะทำอะไร ก่อนจะเซ็นอะไร ยิ่งเป็นเรื่องเกี่ยวกับสัญญาการเงิน,neutral
โซนดีพาร์ทเม้น,neutral
ครับครับผมว่าปีนี้ผมขอย้อนกลับมานิดนึงเมื่อกี้พูดถึง,neutral
ฉันใครฟังอยู่นะใครฟังอยู่นะ,neutral
เพราะฉะนั้นต้องดูให้ดี,neutral
ก็ให้เบอร์ฝ่ายพิจารณาลูกค้าบุคคล อะไรซักอย่างจำชื่อไม่ได้,neutral
ทำไม central ต้องแยกแบบนี้ เพราะอะไร,negative
คุณย้ายออกมาก็ถูกแล้ว ชื่อก็ไม่ได้ชื่อคุณ,neutral
ผมเน้นซื้อกับ shopee มากกว่า,neutral
ย้อนดูผลตอบแทนย้อนหลัง,neutral
ทุกปี,neutral
เกิดปัญหา,negative
พิมพ์ชื่อกล่องเข้าไปต่อท้ายด้วยแบบเว็บไซต์ต่างๆ,neutral
ถ้าสินค้ามี และระบบแจ้งให้ซื้อได้,neutral
นี่แหละเติมที่เจ๋งอยู่แล้ว,neutral
ที่โทรมามักเชื่อถือคำพูดไม่ค่อยได้,negative
แก้ไขปัญหาหน้างานไม่ได้เลย,negative
มาเลยครับ แต่แกไม่เอาเอง,neutral
มีสัดส่วนของอสังหาริมทรัพย์มีอะไรอ่ะทองคำ,neutral
ขอบคุณมากที่ให้ความกระจ่าง ชัดเจน ดีมาก,positive
ตอนเด็กๆคุณพ่อก็นั่งปวดหัวกับตลาดหุ้น,neutral
อาจจะไม่เคยมีเครดิตมั้งคับ,neutral
พอแล้วนะคะ พอแล้วค่ะ พอแล้ว ขอร้อง ขอบคุณนะคะสำหรับข้อมูล,negative
อันนี้ก็สร้างความไม่พอใจให้ดิฉันระดับนึงเหมือนกัน,negative
ซึ่งเราก็คงไม่ต้องเดาล่ะน้องคงต้องไปอยู่สิงคโปร์หรือเปล่านะอยู่กับแฟนอ่ะนะ,neutral
ฟรี ค่าธรรมเนียมแรกเข้าและรายปี ตลอดชีพ,neutral
มั่นใจว่าเราอยู่ในช่วงเติบโตหรือเราอยู่ในช่วงที่จะต้องลงทุนหรือ,neutral
